Country,Population
Afghanistan,39232003
Albania,3101621
Algeria,44758398
American Samoa,44620
Andorra,85468
Angola,35981281
Anguilla,19079
Antigua and Barbuda,101489
Argentina,46621847
Armenia,2989091
Aruba,123702
Australia,26461166
Austria,8940860
Azerbaijan,10420515
"Bahamas, The",358508
Bahrain,1553886
Bangladesh,167184465
Barbados,303431
Belarus,9383853
Belgium,11913633
Belize,419137
Benin,14219908
Bermuda,72576
Bhutan,876181
Bolivia,12186079
Bosnia and Herzegovina,3807764
Botswana,2417596
Brazil,218689757
Brunei,484991
Bulgaria,6827736
Burkina Faso,22489126
Burma,57970293
Burundi,13162952
Cabo Verde,603901
Cambodia,16891245
Cameroon,30135732
Canada,38516736
Cayman Islands,65483
Central African Republic,5552228
Chad,18523165
Chile,18549457
China,1413142846
Colombia,49336454
Comoros,888378
Congo (Brazzaville),5677493
Congo (Kinshasa),111859928
Cook Islands,7939
Costa Rica,5256612
Croatia,4169239
Cuba,10985974
Curaçao,152849
Cyprus,1308120
Czechia,10706242
Côte d'Ivoire,29344847
Denmark,5946984
Djibouti,976143
Dominica,74656
Dominican Republic,10790744
Ecuador,17483326
Egypt,109546720
El Salvador,6602370
Equatorial Guinea,1737695
Eritrea,6274796
Estonia,1202762
Eswatini,1130043
Ethiopia,116462712
Faroe Islands,52600
Fiji,947760
Finland,5614571
France,68521974
French Polynesia,301488
Gabon,2397368
"Gambia, The",2468569
Gaza Strip,2037744
Georgia,4936390
Germany,84220184
Ghana,33846114
Gibraltar,29629
Greece,10497595
Greenland,57777
Grenada,114299
Guam,169330
Guatemala,17980803
Guernsey,67642
Guinea,13607249
Guinea-Bissau,2078820
Guyana,791739
Haiti,11470261
Honduras,9571352
Hong Kong,7288167
Hungary,9670009
Iceland,360872
India,1399179585
Indonesia,279476346
Iran,87590873
Iraq,41266109
Ireland,5323991
Isle of Man,91840
Israel,9043387
Italy,61021855
Jamaica,2820982
Japan,123719238
Jersey,102785
Jordan,11086716
Kazakhstan,19543464
Kenya,57052004
Kiribati,115372
"Korea, North",26072217
"Korea, South",51966948
Kosovo,1964327
Kuwait,3103580
Kyrgyzstan,6122781
Laos,7852377
Latvia,1821750
Lebanon,5331203
Lesotho,2210646
Liberia,5506280
Libya,7252573
Liechtenstein,39993
Lithuania,2655755
Luxembourg,660924
Macau,639971
Madagascar,28812195
Malawi,21279597
Malaysia,34219975
Maldives,389568
Mali,21359722
Malta,467138
Marshall Islands,80966
Mauritania,4244878
Mauritius,1309448
Mexico,129875529
"Micronesia, Federated States of",100319
Moldova,3250532
Monaco,31597
Mongolia,3255468
Montenegro,602445
Montserrat,5440
Morocco,37067420
Mozambique,32513805
Namibia,2777232
Nauru,9852
Nepal,30899443
Netherlands,17463930
New Caledonia,300682
New Zealand,5109702
Nicaragua,6359689
Niger,25396840
Nigeria,230842743
North Macedonia,2133410
Northern Mariana Islands,51295
Norway,5597924
Oman,3833465
Pakistan,247653551
Palau,21779
Panama,4404108
Papua New Guinea,9819350
Paraguay,7439863
Peru,32440172
Philippines,116434200
Poland,37991766
Portugal,10223150
Puerto Rico,3057311
Qatar,2532104
Romania,18326327
Russia,141698923
Rwanda,13400541
Saint Barthelemy,7093
"Saint Helena, Ascension, and Tristan da Cunha",7935
Saint Kitts and Nevis,54817
Saint Lucia,167591
Saint Martin,32897
Saint Pierre and Miquelon,5195
Saint Vincent and the Grenadines,100804
Samoa,207501
San Marino,34892
Sao Tome and Principe,220372
Saudi Arabia,35939806
Senegal,18384660
Serbia,6693375
Seychelles,97617
Sierra Leone,8908040
Singapore,5975383
Sint Maarten,45677
Slovakia,5425319
Slovenia,2099790
Solomon Islands,714766
Somalia,12693796
South Africa,58048332
South Sudan,12118379
Spain,47222613
Sri Lanka,23326272
Sudan,49197555
Suriname,639759
Sweden,10536338
Switzerland,8563760
Syria,22933531
Taiwan,23588613
Tajikistan,9245937
Tanzania,65642682
Thailand,69794997
Timor-Leste,1476042
Togo,8703961
Tonga,105221
Trinidad and Tobago,1407460
Tunisia,11976182
Turkey,83593483
Turkmenistan,5690818
Turks and Caicos Islands,59367
Tuvalu,11639
Uganda,47729952
Ukraine,43306477
United Arab Emirates,9973449
United Kingdom,68138484
United States,339665118
Uruguay,3416264
Uzbekistan,31360836
Vanuatu,313046
Venezuela,30518260
Vietnam,104799174
"Virgin Islands, British",39369
"Virgin Islands, U.S.",104917
Wallis and Futuna,15929
West Bank,3050760
Yemen,31565602
Zambia,20216029
Zimbabwe,15418674
